indice,pmos,nmos,nodo,saida,corrente,LETth
98.0,-0.4115,0.2101,g1,g1,93.75,47123015.87301587
99.0,0.8232,-1.0173,g1,g1,125.0,62830687.830687836
100.0,-0.4042,-1.4751,g1,g1,93.75,47123015.87301587
101.0,1.192,-2.2828,g1,g1,134.375,67542989.41798942
102.0,0.4169,1.2686,g1,g1,115.625,58118386.24338624
103.0,0.4594,-0.2381,g1,g1,118.75,59689153.43915344
104.0,-0.1304,0.1837,g1,g1,100.0,50264550.26455026
105.0,0.8075,0.4164,g1,g1,125.0,62830687.830687836
106.0,-1.3791,0.1774,g1,g1,68.75,34556878.306878306
107.0,-0.7678,-0.1554,g1,g1,84.375,42410714.285714276
108.0,0.5586,0.4342,g1,g1,118.75,59689153.43915344
109.0,-1.0085,0.6397,g1,g1,78.125,39269179.894179896
110.0,0.1942,0.1196,g1,g1,109.375,54976851.85185184
111.0,-1.3497,-1.0305,g1,g1,68.75,34556878.306878306
112.0,-0.5262,0.8521,g1,g1,90.625,45552248.67724867
113.0,-0.2757,1.5743,g1,g1,100.0,50264550.26455026
114.0,-1.3016,-0.801,g1,g1,68.75,34556878.306878306
115.0,0.3603,-1.4927,g1,g1,112.5,56547619.047619045
116.0,-0.8611,-0.8279,g1,g1,81.25,40839947.08994709
117.0,-0.6386,0.2955,g1,g1,87.5,43981481.48148148
118.0,0.5718,-2.7488,g1,g1,118.75,59689153.43915344
119.0,1.2164,1.0946,g1,g1,137.5,69113756.61375661
120.0,-1.1888,-0.8357,g1,g1,71.875,36127645.50264551
121.0,-1.1639,0.7226,g1,g1,71.875,36127645.50264551
122.0,0.9979,-0.5576,g1,g1,131.25,65972222.222222224
123.0,1.0029,1.0143,g1,g1,131.25,65972222.222222224
124.0,0.4762,1.2415,g1,g1,118.75,59689153.43915344
125.0,0.4417,0.5195,g1,g1,118.75,59689153.43915344
126.0,0.4177,0.5674,g1,g1,115.625,58118386.24338624
127.0,-3.5265,0.6897,g1,g1,17.96875,9031911.375661377
128.0,-1.0838,2.8774,g1,g1,75.0,37698412.6984127
129.0,-2.2505,-0.5504,g1,g1,43.75,21990740.74074074
130.0,-0.3125,-0.4383,g1,g1,96.875,48693783.06878307
131.0,-1.1816,-0.6643,g1,g1,71.875,36127645.50264551
132.0,0.3563,1.7385,g1,g1,112.5,56547619.047619045
133.0,0.8027,2.3772,g1,g1,125.0,62830687.830687836
134.0,1.9169,-0.8661,g1,g1,150.0,75396825.3968254
135.0,0.9557,-0.3514,g1,g1,131.25,65972222.222222224
136.0,0.4657,-2.3956,g1,g1,118.75,59689153.43915344
137.0,-1.6238,1.9581,g1,g1,60.9375,30629960.317460313
138.0,0.2889,0.377,g1,g1,112.5,56547619.047619045
139.0,-0.001624,1.2459,g1,g1,106.25,53406084.65608465
140.0,1.9011,1.0237,g1,g1,150.0,75396825.3968254
141.0,-1.4811,-0.3195,g1,g1,65.625,32986111.111111112
142.0,-0.5602,-0.8804,g1,g1,90.625,45552248.67724867
143.0,-0.8307,-0.4393,g1,g1,81.25,40839947.08994709
144.0,1.4493,1.3217,g1,g1,137.5,69113756.61375661
145.0,0.6369,-0.02126,g1,g1,118.75,59689153.43915344
146.0,1.3023,0.2517,g1,g1,137.5,69113756.61375661
147.0,2.0131,0.894,g1,g1,150.0,75396825.3968254
148.0,0.4198,0.7522,g1,g1,115.625,58118386.24338624
149.0,1.8744,0.2302,g1,g1,150.0,75396825.3968254
150.0,0.415,-1.1595,g1,g1,115.625,58118386.24338624
151.0,-0.4695,0.7487,g1,g1,93.75,47123015.87301587
152.0,1.392,0.1727,g1,g1,137.5,69113756.61375661
153.0,-0.4606,0.3072,g1,g1,93.75,47123015.87301587
154.0,-0.3804,1.3191,g1,g1,93.75,47123015.87301587
155.0,-1.3327,-0.04356,g1,g1,68.75,34556878.306878306
156.0,0.3634,1.031,g1,g1,112.5,56547619.047619045
157.0,-0.9783,-0.4219,g1,g1,78.125,39269179.894179896
158.0,-1.7272,2.1758,g1,g1,57.8125,29059193.12169312
159.0,1.8672,0.3235,g1,g1,150.0,75396825.3968254
160.0,1.2381,-0.1768,g1,g1,137.5,69113756.61375661
161.0,-0.3106,-0.3814,g1,g1,96.875,48693783.06878307
162.0,-0.9436,-1.9976,g1,g1,78.125,39269179.894179896
163.0,0.3313,1.3209,g1,g1,112.5,56547619.047619045
164.0,0.8041,-0.169,g1,g1,125.0,62830687.830687836
165.0,0.2083,-2.1694,g1,g1,112.5,56547619.047619045
166.0,0.792,-0.8219,g1,g1,125.0,62830687.830687836
167.0,-0.6906,-0.5271,g1,g1,87.5,43981481.48148148
168.0,0.951,0.07249,g1,g1,131.25,65972222.222222224
169.0,-0.6695,-0.2776,g1,g1,87.5,43981481.48148148
170.0,1.0381,-0.1948,g1,g1,131.25,65972222.222222224
171.0,-0.3719,1.9981,g1,g1,93.75,47123015.87301587
172.0,-0.563,1.2708,g1,g1,90.625,45552248.67724867
173.0,-0.9596,0.07283,g1,g1,78.125,39269179.894179896
174.0,-0.2319,0.786,g1,g1,100.0,50264550.26455026
175.0,0.4526,0.3355,g1,g1,118.75,59689153.43915344
176.0,0.035,0.3293,g1,g1,106.25,53406084.65608465
177.0,-1.0358,-0.1045,g1,g1,78.125,39269179.894179896
178.0,0.393,1.4622,g1,g1,115.625,58118386.24338624
179.0,-0.3965,-0.1832,g1,g1,93.75,47123015.87301587
180.0,0.6326,-0.1463,g1,g1,118.75,59689153.43915344
181.0,0.5789,0.1878,g1,g1,118.75,59689153.43915344
182.0,0.1873,-0.5052,g1,g1,109.375,54976851.85185184
183.0,-2.2865,0.4201,g1,g1,43.75,21990740.74074074
184.0,1.117,0.2697,g1,g1,131.25,65972222.222222224
185.0,1.2105,-0.7068,g1,g1,134.375,67542989.41798942
186.0,-0.6319,-1.4554,g1,g1,87.5,43981481.48148148
